"run_id","type_name","baseline_size_bytes","candidate_size_bytes","delta_size_bytes","baseline_align_bytes","candidate_align_bytes","delta_align_bytes"
"vme5-mem-full","RustString","24","24","0","8","8","0"
"vme5-mem-full","BStr","24","24","0","8","8","0"
"vme5-mem-full","RuntimeValue","64","64","0","8","8","0"
"vme5-mem-full","Variant","16","80","64","8","8","0"
"vme5-mem-full","SafeArray","64","64","0","8","8","0"
"vme5-mem-full","SafeArrayBound","8","8","0","4","4","0"
"vme5-mem-full","F64Value","16","16","0","8","8","0"
"vme5-mem-full","CurrencyValue","8","8","0","8","8","0"
"vme5-mem-full","ObjectHandle","4","4","0","4","4","0"
"vme5-mem-full","BindingHandle","4","4","0","4","4","0"
"vme5-mem-full","ComValue","64","64","0","8","8","0"
"vme5-mem-full","ComInvokeArg","88","88","0","8","8","0"
"vme5-mem-full","ComCallbackPayload","40","40","0","8","8","0"
